farmer_id,37203063,phone_number,region,age,education_level,gender,marital_status,dependents_count,household_income_sources,employment_type,mpesa_monthly_transactions,utility_payment_timeliness,farm_size_acres,soil_quality_index,farming_years,crop_type_current,past_crop_performance_index,agroclimatic_zone,rainfall_forecast_next_90d,historical_drought_risk,cooperative_member,mobile_advisory_usage,loan_default_past,input_use_history,has_insurance_before,willing_to_subscribe_insurance,yield_per_acre,income_stability,climate_risk_score
F0018,90784104.50554048,378-905-0779,Kiambu,30.52136388996451,Secondary,Female,Single,2.7694486670522074,"['Remittance', 'Small Business']",Self-employed,3601.874843279821,0.6153493229268175,1.7610829492658224,0.3405913716678934,12.985244297557678,Beans,0.9283917783571,Kitale_Z2,401.48692789300384,0.6081923365566969,False,True,True,Irregular,False,False,1.6349749311032633,1300.5746905984886,0.1334463095221469
F0014,93195347.83539936,(039)931-6132x84843,Embu,64.41674485316305,Tertiary,Male,Single,5.021278663216917,"['Remittance', 'Livestock']",Full-time,19124.395783251563,0.9258754974604134,1.7600680125855508,0.6431143105053745,3.80293662674171,Beans,0.9215642972467446,Kiambu_Z3,81.85817355523314,0.6698097193617145,False,True,False,Regular,True,False,1.6220158411248775,3808.670473388821,0.212350094668267
F0002,8591392.025476126,+1-590-768-2353x7614,Kiambu,60.87780010091363,Secondary,Male,Married,1.0017765791873126,"['None', 'Small Business']",Unemployed,11060.625713059397,0.613869581585008,2.230927585556046,0.2605309316597509,25.28497330384182,Beans,0.5021596896666046,Kiambu_Z3,133.6935569585208,0.013572310350942,False,False,True,Regular,False,True,1.1202819040314915,11041.010483627284,0.2569949249992447
F0018,66367540.167550646,1828227043,Kitale,28.155280899075468,Primary,Male,Single,2.98403901894733,"['Livestock', 'Remittance']",Self-employed,11263.696050250974,0.9986297929442588,4.647825694823879,0.4200074996896281,11.9318156151489,Maize,0.549405883510426,Kitale_Z1,146.40734238011223,0.4466219165897721,False,True,False,Regular,True,True,2.553542782267173,3774.6477102784106,0.2324229451961682
F0008,12552408.15907371,004-279-3392x381,Kitale,23.741999911015338,Primary,Male,Single,1.0376994445467664,"['Livestock', 'Small Business']",Casual,15388.657390924966,0.6840346451830838,2.494637360469917,0.2602494603017786,19.902715953870924,Beans,0.8003469856235003,Kisumu_Z2,119.30814211906088,0.4933121424433859,False,True,True,Regular,False,True,1.9965754916758636,14829.590081978153,0.1318652414705732
...,8676100.481895626,(170)850-1178x888,Kiambu,45.92118350574798,Secondary,Male,Widowed,3.9250169151487726,"['Small Business', 'Livestock']",Casual,4988.815755089272,0.5719749152768351,3.62901483787906,0.2785238885507698,8.112141105012943,Kale,0.6109635523552825,Kiambu_Z2,110.69940548723172,0.2201914184411389,True,True,False,Regular,True,False,2.2171957969006204,1271.0303835468128,0.2171953184610341
F0016,94286163.33959629,(313)335-3121x82034,Kiambu,18.8518932699188,Primary,Male,Single,0.0642838199360653,"['Small Business', 'Livestock']",Self-employed,1677.4709078291362,1.0139914896972655,4.701734078974616,0.5013731235123945,19.556465894485083,Kale,0.9454423384134488,Kitale_Z1,297.4214312373287,0.6508433212835646,False,True,True,Regular,False,False,4.4452184622239646,26094.760851136365,0.1750577746032728
F0016,10753311.67700204,+1-794-771-4863x22423,Narok,31.39313305414948,Secondary,Female,Widowed,1.10288632570168,"['Remittance', 'Livestock']",Full-time,19173.316641077286,0.707610409080284,0.4520506941119521,0.2528149456913728,13.443499785639446,Beans,0.4644519400040172,Narok_Z2,114.63480702805236,0.9867451544295208,False,True,True,Irregular,True,True,0.2099558218604587,17384.671651340683,0.0033510230630482
...,12952918.28418451,7518050030,Narok,33.01768966030462,Secondary,Female,Widowed,2.780821621855489,"['Livestock', 'Small Business']",Casual,19208.68346106404,0.8534373434429388,1.703672787908726,0.5486467622627087,19.816804732927665,Beans,0.6212768067660925,Kiambu_Z2,371.1228709132861,0.4629485371853954,False,True,True,Irregular,True,False,1.0584523894462197,6907.55685661245,0.2946515462416843
F0016,78650998.0519553,1828227043,Kisumu,17.87223212496743,Tertiary,Male,Widowed,2.8323018800915083,"['Livestock', 'Small Business']",Self-employed,18899.650244903823,0.8494325769883311,1.1672737623501224,0.329985807005012,7.819384582840255,Beans,0.9640531855175156,Narok_Z1,291.4859453109431,0.560880058454708,True,True,True,Regular,True,False,1.125313988964651,6672.894008139132,0.1449033482828168
